Datetime,ProduceType,InputLevel,SpendResource,Type,ID,Name,Rank
2020-09-25 06:25:23,EQUIP,HEAVY-2,2000/500/2000/1000,FAIRY,16,Rescue Fairy,?
2020-09-25 06:25:32,EQUIP,HEAVY-2,2000/500/2000/1000,FAIRY,3,Armor Fairy,?
2020-09-25 06:25:41,EQUIP,HEAVY-2,2000/500/2000/1000,FAIRY,16,Rescue Fairy,?
2020-09-25 06:26:09,EQUIP,HEAVY-2,2000/500/2000/1000,NIGHTEQUIP,16,PEQ-16A,?????
2020-09-25 07:23:19,EQUIP,HEAVY-2,2000/500/2000/1000,ARMORPLATE,43,Type 2 Armor Plate,????
2020-09-25 07:23:19,EQUIP,HEAVY-2,2000/500/2000/1000,HOLO,7,EOT 516,????
2020-09-25 07:23:19,EQUIP,HEAVY-2,2000/500/2000/1000,CLOAK,89,Urban Camouflage Cape,????
2020-09-25 08:09:41,EQUIP,HEAVY-1,500/500/500/500,REDDOT,10,AMP COMPM4,???
2020-09-25 08:09:41,EQUIP,HEAVY-1,500/500/500/500,FAIRY,7,Sniper Fairy,?
2020-09-25 08:09:41,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,2,LRA 2-12x50,???
2020-09-25 08:09:50,EQUIP,HEAVY-1,500/500/500/500,HOLO,8,EOT 518,?????
2020-09-25 14:21:44,EQUIP,HEAVY-1,500/500/500/500,REDDOT,11,COG M150,????
2020-09-25 14:21:44,EQUIP,HEAVY-1,500/500/500/500,FAIRY,9,Airstrike Fairy,?
2020-09-25 14:21:47,EQUIP,HEAVY-1,500/500/500/500,HOLO,6,EOT 512,???
2020-09-25 14:21:55,EQUIP,HEAVY-1,500/500/500/500,FAIRY,3,Armor Fairy,?
2020-09-25 15:02:06,EQUIP,HEAVY-1,500/500/500/500,XEXO,57,IOP X3 Exoskeleton,????
2020-09-25 15:02:08,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,2,LRA 2-12x50,???
2020-09-25 15:02:10,EQUIP,HEAVY-1,500/500/500/500,TEXO,38,IOP T2 Exoskeleton,???
2020-09-25 15:44:26,EQUIP,HEAVY-1,500/500/500/500,ARMORPLATE,42,Type 1 Armor Plate,???
2020-09-25 15:44:28,EQUIP,HEAVY-1,500/500/500/500,TEXO,38,IOP T2 Exoskeleton,???
2020-09-25 15:44:30,EQUIP,HEAVY-1,500/500/500/500,XEXO,56,IOP X2 Exoskeleton,???
2020-09-25 16:21:38,EQUIP,HEAVY-1,500/500/500/500,CLOAK,88,Camouflage Cape,???
2020-09-25 16:21:40,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,2,LRA 2-12x50,???
2020-09-25 16:21:41,EQUIP,HEAVY-1,500/500/500/500,XEXO,56,IOP X2 Exoskeleton,???
2020-09-25 16:54:40,EQUIP,HEAVY-1,500/500/500/500,FAIRY,3,Armor Fairy,?
2020-09-25 16:54:42,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,4,VFL 6-24X56,?????
2020-09-25 16:54:44,EQUIP,HEAVY-1,500/500/500/500,TEXO,38,IOP T2 Exoskeleton,???
2020-09-25 17:09:48,EQUIP,HEAVY-1,500/500/500/500,CLOAK,88,Camouflage Cape,???
2020-09-25 17:21:57,EQUIP,HEAVY-1,500/500/500/500,FAIRY,2,Fury Fairy,?
2020-09-25 17:22:06,EQUIP,HEAVY-1,500/500/500/500,SUPPRESSOR,65,AC3 Suppressor,????
2020-09-25 17:41:37,EQUIP,HEAVY-1,500/500/500/500,FAIRY,9,Airstrike Fairy,?
2020-09-25 17:41:39,EQUIP,HEAVY-1,500/500/500/500,TEXO,38,IOP T2 Exoskeleton,???
2020-09-25 17:41:47,EQUIP,HEAVY-1,500/500/500/500,HOLO,7,EOT 516,????
2020-09-25 18:24:34,EQUIP,HEAVY-1,500/500/500/500,CLOAK,89,Urban Camouflage Cape,????
2020-09-25 18:24:34,EQUIP,HEAVY-1,500/500/500/500,REDDOT,10,AMP COMPM4,???
2020-09-25 18:24:34,EQUIP,HEAVY-1,500/500/500/500,NIGHTEQUIP,15,PEQ-15,????
2020-09-25 19:11:05,EQUIP,HEAVY-1,500/500/500/500,FAIRY,6,Taunt Fairy,?
2020-09-25 19:11:05,EQUIP,HEAVY-1,500/500/500/500,SUPPRESSOR,64,AC2 Suppressor,???
2020-09-25 19:11:05,EQUIP,HEAVY-1,500/500/500/500,REDDOT,11,COG M150,????
2020-09-25 19:11:21,EQUIP,HEAVY-1,500/500/500/500,SUPPRESSOR,64,AC2 Suppressor,???
2020-09-25 19:36:22,EQUIP,HEAVY-1,500/500/500/500,FAIRY,1,Warrior Fairy,?
2020-09-25 19:36:24,EQUIP,HEAVY-1,500/500/500/500,FAIRY,17,Illumination Fairy,?
2020-09-25 19:36:38,EQUIP,HEAVY-1,500/500/500/500,TEXO,38,IOP T2 Exoskeleton,???
2020-09-25 19:36:40,EQUIP,HEAVY-1,500/500/500/500,FAIRY,17,Illumination Fairy,?
2020-09-25 19:41:30,EQUIP,HEAVY-1,500/500/500/500,NIGHTEQUIP,14,PEQ-5,???
2020-09-25 20:11:55,EQUIP,HEAVY-1,500/500/500/500,FAIRY,6,Taunt Fairy,?
2020-09-25 20:11:56,EQUIP,HEAVY-1,500/500/500/500,CLOAK,88,Camouflage Cape,???
2020-09-25 20:11:58,EQUIP,HEAVY-1,500/500/500/500,REDDOT,10,AMP COMPM4,???
2020-09-25 20:12:08,EQUIP,HEAVY-1,500/500/500/500,FAIRY,17,Illumination Fairy,?
2020-09-25 20:17:20,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,2,LRA 2-12x50,???
2020-09-25 20:43:14,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,2,LRA 2-12x50,???
2020-09-25 20:43:16,EQUIP,HEAVY-1,500/500/500/500,FAIRY,7,Sniper Fairy,?
2020-09-25 20:43:18,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,3,PSO-1,????
2020-09-25 20:43:31,EQUIP,HEAVY-1,500/500/500/500,NIGHTEQUIP,14,PEQ-5,???
2020-09-25 21:08:07,EQUIP,HEAVY-1,500/500/500/500,FAIRY,8,Artillery Fairy,?
2020-09-25 21:08:08,EQUIP,HEAVY-1,500/500/500/500,SUPPRESSOR,65,AC3 Suppressor,????
2020-09-25 21:08:19,EQUIP,HEAVY-1,500/500/500/500,FAIRY,8,Artillery Fairy,?
2020-09-25 21:08:28,EQUIP,HEAVY-1,500/500/500/500,SUPPRESSOR,64,AC2 Suppressor,???
2020-09-25 21:21:45,EQUIP,HEAVY-1,500/500/500/500,XEXO,56,IOP X2 Exoskeleton,???
2020-09-25 21:49:55,EQUIP,HEAVY-1,500/500/500/500,FAIRY,6,Taunt Fairy,?
2020-09-25 21:49:57,EQUIP,HEAVY-1,500/500/500/500,NIGHTEQUIP,15,PEQ-15,????
2020-09-25 21:49:58,EQUIP,HEAVY-1,500/500/500/500,CLOAK,89,Urban Camouflage Cape,????
2020-09-25 21:55:02,EQUIP,HEAVY-1,500/500/500/500,FAIRY,4,Shield Fairy,?
2020-09-25 21:55:14,EQUIP,HEAVY-1,500/500/500/500,NIGHTEQUIP,14,PEQ-5,???
2020-09-25 22:10:58,GUN,NORMAL,30/30/30/30,HG,2,M1911,??
2020-09-25 22:10:58,GUN,NORMAL,30/30/30/30,HG,14,Astra,???
2020-09-25 22:11:00,EQUIP,NORMAL,10/10/10/10,OPTICAL,1,BM 3-12X40,??
2020-09-25 22:11:00,EQUIP,NORMAL,10/10/10/10,XEXO,56,IOP X2 Exoskeleton,???
2020-09-25 22:11:00,EQUIP,NORMAL,10/10/10/10,NIGHTEQUIP,13,PEQ-2,??
2020-09-26 01:12:09,GUN,NORMAL,30/30/30/30,HG,11,P08,???
2020-09-26 01:12:09,GUN,NORMAL,30/30/30/30,HG,2,M1911,??
2020-09-26 01:12:17,EQUIP,NORMAL,10/10/10/10,NIGHTEQUIP,14,PEQ-5,???
2020-09-26 01:12:22,EQUIP,HEAVY-1,500/500/500/500,TEXO,38,IOP T2 Exoskeleton,???
2020-09-26 01:12:22,EQUIP,HEAVY-1,500/500/500/500,ARMORPLATE,42,Type 1 Armor Plate,???
2020-09-26 01:12:22,EQUIP,HEAVY-1,500/500/500/500,FAIRY,7,Sniper Fairy,?
2020-09-26 01:12:41,EQUIP,HEAVY-1,500/500/500/500,TEXO,38,IOP T2 Exoskeleton,???
2020-09-26 03:47:10,EQUIP,HEAVY-1,500/500/500/500,HOLO,6,EOT 512,???
2020-09-26 03:59:12,EQUIP,HEAVY-1,500/500/500/500,NIGHTEQUIP,14,PEQ-5,???
2020-09-26 03:59:13,EQUIP,HEAVY-1,500/500/500/500,FAIRY,3,Armor Fairy,?
2020-09-26 03:59:24,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,3,PSO-1,????
2020-09-26 04:10:36,EQUIP,HEAVY-1,500/500/500/500,HOLO,8,EOT 518,?????
2020-09-26 04:24:32,EQUIP,HEAVY-1,500/500/500/500,HOLO,6,EOT 512,???
2020-09-26 04:36:43,EQUIP,HEAVY-1,500/500/500/500,TEXO,38,IOP T2 Exoskeleton,???
2020-09-26 04:50:46,EQUIP,HEAVY-1,500/500/500/500,HOLO,6,EOT 512,???
2020-09-26 04:59:16,EQUIP,HEAVY-1,500/500/500/500,HOLO,7,EOT 516,????
2020-09-26 05:08:20,EQUIP,HEAVY-1,500/500/500/500,REDDOT,12,ITI MARS,?????
2020-09-26 05:19:20,EQUIP,HEAVY-1,500/500/500/500,SUPPRESSOR,64,AC2 Suppressor,???
2020-09-26 05:39:01,EQUIP,HEAVY-1,500/500/500/500,FAIRY,17,Illumination Fairy,?
2020-09-26 05:39:10,EQUIP,HEAVY-1,500/500/500/500,ARMORPLATE,42,Type 1 Armor Plate,???
2020-09-26 05:45:57,EQUIP,HEAVY-1,500/500/500/500,CLOAK,88,Camouflage Cape,???
2020-09-26 06:11:51,EQUIP,HEAVY-1,500/500/500/500,TEXO,38,IOP T2 Exoskeleton,???
2020-09-26 06:11:53,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,2,LRA 2-12x50,???
2020-09-26 06:20:39,EQUIP,HEAVY-1,500/500/500/500,FAIRY,3,Armor Fairy,?
2020-09-26 06:20:48,EQUIP,HEAVY-1,500/500/500/500,SUPPRESSOR,64,AC2 Suppressor,???
2020-09-26 06:34:47,EQUIP,HEAVY-1,500/500/500/500,NIGHTEQUIP,14,PEQ-5,???
2020-09-26 06:43:17,EQUIP,HEAVY-1,500/500/500/500,NIGHTEQUIP,15,PEQ-15,????
